RFM_Segment,data_usage_segment,voice_usage_segment,data_usage_trend,voice_usage_trend,Customer Signal,Customer Meaning,segment,Opportunity,NBO_Action,Subs,TR,DR,VR
Recent Customers,high,high,Gradual Growth,no_trend,Stable Premium Builder,Gradual but stable premium user,Loyalty Opportunity,Nurture,Premium builder pack,,,,
Recent Customers,high,high,Rapid Expansion,Declining,Rapid Premium Growth at Risk,Explosive growth with warning signs,Retention Priority,Retention,Expansion shield,,,,
Recent Customers,high,high,Rapid Expansion,Dormant,Boom-to-Dormant Premium,Rapid expansion followed by inactivity,Drop-Off Threat,Reactivation,Reignite elite,,,,
Recent Customers,high,high,Rapid Expansion,Early Recovery,Expansion Recovery Premium,Rapid expansion plus recovery strength,High Opportunity User,Upsell,Expansion unlock premium,,,,
Recent Customers,high,high,Rapid Expansion,Strong Growth,Power Premium Expansion,Exceptional breakout in all services,Elite New VIP,Maximum Growth,Elite ecosystem plus,,,,
Recent Customers,high,high,Rapid Expansion,Gradual Growth,Sustained Premium Expansion,Rapid rise transitioning to stability,Future Loyal VIP,Growth Support,Value maximizer elite,,,,
Recent Customers,high,high,Rapid Expansion,Rapid Expansion,Hypergrowth VIP Champion,Maximum expansion across both services,Ultimate VIP Segment,User Maximization,Platinum flagship,,,,
Recent Customers,high,high,Rapid Expansion,no_trend,Stable Expansion Premium,Rapidly expanded and stabilized,Loyalty Growth Opportunity,Loyalty Growth,Expansion rewards elite,,,,
Recent Customers,high,high,no_trend,Declining,Stable Premium Weakening,Stable premium customer beginning decline,Retention Risk,Retention,Usage protection,,,,
Recent Customers,high,high,no_trend,Dormant,Stable Premium Dormancy,Stable top user slipping inactive,Dormant Risk,Activation,Wake-up elite,,,,
Recent Customers,high,high,no_trend,Early Recovery,Stable Premium Recovery,Stable premium user showing comeback,Recovering Premium,Nurture,Starter premium boost,,,,
Recent Customers,high,high,no_trend,Strong Growth,Stable to Premium Growth,Stable premium base accelerating strongly,Growth Opportunity,Upsell,Premium booster,,,,
Recent Customers,high,high,no_trend,Gradual Growth,Stable Premium Builder,Stable customer improving gradually,Growth Potential,Nurture,Build-up elite,,,,
Recent Customers,high,high,no_trend,Rapid Expansion,Stable Premium Breakout,Stable user suddenly scaling rapidly,Emerging VIP User,Aggressive Upsell,Breakout elite,,,,
Recent Customers,high,high,no_trend,no_trend,Consistent Premium Customer,Recent customer maintaining high-value engagement across all dimensions consistently,Premium Loyalty Base,Loyalty Growth,VIP onboarding,,,,
Recent Customers,high,very_high,Declining,Declining,Elite Multi-Service Decline,Recent top-tier customer declining across premium usage dimensions,Critical VIP Retention Risk,Retention,Elite save intervention,,,,
Recent Customers,high,very_high,Declining,Dormant,Elite Customer Entering Dormancy,Very high-value recent customer slipping inactive,Dormant VIP Risk,Activation,VIP reactivation suite,,,,
Recent Customers,high,very_high,Declining,Early Recovery,Weakening Elite Recovery,Decline slowing with early comeback indicators,Recovering Elite User,Nurture,Elite recovery bundle,,,,
Recent Customers,high,very_high,Declining,Strong Growth,Elite Rebound Momentum,Strong growth emerging from decline,Premium Growth Opportunity,Upsell,Strategic premium upgrade,,,,
Recent Customers,high,very_high,Declining,Gradual Growth,Stabilizing Elite User,Gradual recovery from premium decline,Growth Potential,Nurture,Progressive elite value,,,,
Recent Customers,high,very_high,Declining,Rapid Expansion,Explosive Elite Comeback,Rapid premium re-engagement after decline,Emerging VIP Champion,Aggressive Upsell,Elite acceleration,,,,
Recent Customers,high,very_high,Declining,no_trend,Stable Elite Under Pressure,Elite user stable but weakening,Retention Priority,Retention,Elite engagement shield,,,,
Recent Customers,high,very_high,Dormant,Declining,Elite User Fading Fast,Top-tier customer moving rapidly toward churn,Severe Churn Risk,Critical Activation,VIP rescue package,,,,
Recent Customers,high,very_high,Dormant,Dormant,Fully Dormant Elite User,Highest-value recent customer inactive,Lost VIP Threat,Reactivation,Elite comeback journey,,,,
Recent Customers,high,very_high,Dormant,Early Recovery,Elite Reactivation Signal,Inactive elite user showing recovery,Recovering VIP,Nurture,Return-to-elite,,,,
Recent Customers,high,very_high,Dormant,Strong Growth,Elite Revival Momentum,Strong comeback from dormancy,Reactivated Elite,User Expansion,Premium relaunch max,,,,
Recent Customers,high,very_high,Dormant,Gradual Growth,Slow Elite Return,Gradual premium comeback,Recovering Elite User,Nurture,Elite rebuild,,,,
Recent Customers,high,very_high,Dormant,Rapid Expansion,Explosive Elite Reactivation,Rapid rise after dormancy,Future Ultra VIP,Aggressive Upsell,Platinum restart,,,,
Recent Customers,high,very_high,Dormant,no_trend,Stable Dormant Elite,Elite but inactive profile,Inactive Opportunity,Activation,Wake-up platinum,,,,
Recent Customers,high,very_high,Early Recovery,Declining,Recovery Under Elite Pressure,Recovery signs mixed with premium decline,Retention Priority,Retention,Recovery defense elite,,,,
Recent Customers,high,very_high,Early Recovery,Dormant,Mixed Elite Recovery,"Recovery in one dimension, dormancy in another",Mixed Recovery User,Activation,Cross-service elite restore,,,,
Recent Customers,high,very_high,Early Recovery,Early Recovery,Balanced Elite Recovery,Strong premium user recovering holistically,Recovering Loyal VIP,Nurture,Elite accelerator,,,,
Recent Customers,high,very_high,Early Recovery,Strong Growth,Elite Recovery to Growth,Recovery accelerating into premium momentum,Emerging Loyal VIP,Upsell,Elite unlock,,,,
Recent Customers,high,very_high,Early Recovery,Gradual Growth,Steady Elite Recovery,Sustainable premium recovery,Growth Potential,Nurture,Steady elite ladder,,,,
Recent Customers,high,very_high,Early Recovery,Rapid Expansion,Fast Elite Expansion,Recovery converting to explosive growth,Future Platinum User,Aggressive Upsell,Elite turbo,,,,
Recent Customers,high,very_high,Early Recovery,no_trend,Stable Elite Recovery User,Recovered and stabilized premium customer,Loyalty Opportunity,Loyalty Growth,Elite rewards,,,,
Recent Customers,high,very_high,Strong Growth,Declining,Elite Growth at Risk,Strong elite growth with warning signs,Retention Risk,Retention,Momentum shield elite,,,,
Recent Customers,high,very_high,Strong Growth,Dormant,Elite Momentum Interrupted,Strong growth disrupted by dormancy,Dormant Threat,Reactivation,Growth restart platinum,,,,
Recent Customers,high,very_high,Strong Growth,Early Recovery,Accelerated Elite Growth,Growth backed by recovery,High Opportunity User,Upsell,Elite enhancer,,,,
Recent Customers,high,very_high,Strong Growth,Strong Growth,Breakout Elite Champion,Exceptional growth across all premium services,Top Elite Segment,Maximum Growth,Ultimate platinum ecosystem,,,,
Recent Customers,high,very_high,Strong Growth,Gradual Growth,Sustainable Elite Growth,Strong growth transitioning to long-term loyalty,Future Platinum Loyalist,Loyalty Growth,Elite continuity,,,,
Recent Customers,high,very_high,Strong Growth,Rapid Expansion,Hypergrowth Elite Titan,Extreme acceleration in every dimension,Ultra VIP Expansion,User Maximization,Flagship platinum infinity,,,,
Recent Customers,high,very_high,Strong Growth,no_trend,Stable Elite High-Growth,Strong elite growth with stability,Growth Potential,Loyalty Growth,Elite continuity rewards,,,,
Recent Customers,high,very_high,Gradual Growth,Declining,Gradual Elite Growth Under Pressure,Steady growth facing decline risk,Retention Risk,Retention,Progress defense elite,,,,
Recent Customers,high,very_high,Gradual Growth,Dormant,Elite Builder Losing Pace,Gradual premium user slipping dormant,Dormant Risk,Activation,Elite builder restart,,,,
Recent Customers,high,very_high,Gradual Growth,Early Recovery,Healthy Elite Builder,Gradual growth with recovery support,Recovering Elite,Nurture,Growth nurture platinum,,,,
Recent Customers,high,very_high,Gradual Growth,Strong Growth,Accelerating Elite Builder,Steady user entering premium momentum,Emerging Elite User,Upsell,Upgrade platinum,,,,
Recent Customers,high,very_high,Gradual Growth,Gradual Growth,Consistent Elite Builder,Balanced sustainable elite growth,Growth Potential,Loyalty Growth,Elite builder rewards,,,,
Recent Customers,high,very_high,Gradual Growth,Rapid Expansion,Breakout Elite Builder,Gradual user entering explosive premium growth,Future Ultra VIP,Aggressive Upsell,Breakout platinum,,,,
Recent Customers,high,very_high,Gradual Growth,no_trend,Stable Elite Builder,Stable but improving elite customer,Loyalty Opportunity,Nurture,Elite progression,,,,
Recent Customers,high,very_high,Rapid Expansion,Declining,Rapid Elite Growth at Risk,Explosive growth with decline warning,Retention Priority,Retention,Expansion shield platinum,,,,
Recent Customers,high,very_high,Rapid Expansion,Dormant,Boom-to-Dormant Elite,Rapid expansion followed by inactivity,Drop-Off Threat,Reactivation,Reignite platinum,,,,
Recent Customers,high,very_high,Rapid Expansion,Early Recovery,Expansion Recovery Elite,Rapid expansion with recovery strength,High Opportunity User,Upsell,Expansion unlock elite,,,,
Recent Customers,high,very_high,Rapid Expansion,Strong Growth,Power Elite Expansion,Exceptional expansion in all services,New Platinum Leader,Maximum Growth,Elite universe max,,,,
Recent Customers,high,very_high,Rapid Expansion,Gradual Growth,Sustained Elite Expansion,Rapid rise becoming stable loyalty,Future Loyal Platinum,Growth Support,Value maximizer platinum,,,,
Recent Customers,high,very_high,Rapid Expansion,Rapid Expansion,Hypergrowth Platinum Titan,Maximum expansion across every metric,Ultimate Platinum Segment,User Maximization,Infinity flagship,,,,
Recent Customers,high,very_high,Rapid Expansion,no_trend,Stable Expansion Elite,Rapidly expanded and stabilized,Loyalty Growth Opportunity,Loyalty Growth,Expansion rewards platinum,,,,
Recent Customers,high,very_high,no_trend,Declining,Stable Elite Weakening,Stable elite customer beginning decline,Retention Risk,Retention,Usage shield platinum,,,,
Recent Customers,high,very_high,no_trend,Dormant,Stable Elite Dormancy,Stable top-tier user slipping inactive,Dormant Risk,Activation,Wake-up infinity,,,,
Recent Customers,high,very_high,no_trend,Early Recovery,Stable Elite Recovery,Stable premium base showing comeback,Recovering Elite,Nurture,Starter platinum boost,,,,
Recent Customers,high,very_high,no_trend,Strong Growth,Stable to Elite Growth,Stable user accelerating strongly,Growth Opportunity,Upsell,Elite booster,,,,
Recent Customers,high,very_high,no_trend,Gradual Growth,Stable Elite Builder,Stable customer gradually improving,Growth Potential,Nurture,Build-up platinum,,,,
Recent Customers,high,very_high,no_trend,Rapid Expansion,Stable Elite Breakout,Stable base suddenly scaling rapidly,Emerging Platinum User,Aggressive Upsell,Breakout infinity,,,,
Recent Customers,high,very_high,no_trend,no_trend,Consistent Elite Customer,Recent customer maintaining elite-level engagement across all premium dimensions,Elite Loyalty Core,Loyalty Growth,Platinum onboarding,,,,
Recent Customers,high,Zero,Declining,Declining,Heavy Data User Declining,Recent high-data customer reducing digital engagement with no voice activity,Early Churn Risk,Retention,Data retention bundle,,,,
Recent Customers,high,Zero,Declining,Dormant,Data User Turning Dormant,High data customer slipping toward inactivity,Dormant Risk,Activation,Digital reactivation pack,,,,
Recent Customers,high,Zero,Declining,Early Recovery,Recovering Digital Heavy User,High digital user showing early rebound after decline,Recovering User,Nurture,Recovery starter,,,,
Recent Customers,high,Zero,Declining,Strong Growth,Data-Led Momentum Shift,Strong digital growth despite prior decline,Growth Opportunity,Upsell,High-data premium,,,,
Recent Customers,high,Zero,Declining,Gradual Growth,Stabilizing Digital User,High data user slowly recovering,Growth Potential,Nurture,Progressive data bundle,,,,
Recent Customers,high,Zero,Declining,Rapid Expansion,Rapid Digital Expansion,Sudden digital acceleration from declining state,Emerging High Value,Aggressive Upsell,Fast-track digital,,,,
Recent Customers,high,Zero,Declining,no_trend,Stable Data Decline,High data user weakening but behaviorally stable,Retention Risk,Retention,Usage stabilizer,,,,
Recent Customers,high,Zero,Dormant,Declining,High Data Churn Threat,Previously active digital customer slipping inactive,High Churn Risk,Critical Activation,Dormancy rescue,,,,
Recent Customers,high,Zero,Dormant,Dormant,Fully Dormant Digital User,High digital customer now completely inactive,Cold User,Reactivation,Wake-up data pack,,,,
Recent Customers,high,Zero,Dormant,Early Recovery,Digital Recovery Start,Dormant digital-heavy user beginning comeback,Recovering User,Nurture,Re-engagement basics,,,,
Recent Customers,high,Zero,Dormant,Strong Growth,Strong Digital Reactivation,High data user rapidly returning,Emerging Loyal User,Upsell,Comeback accelerator,,,,
Recent Customers,high,Zero,Dormant,Gradual Growth,Gradual Digital Return,Slow but valuable return from dormancy,Recovering User,Nurture,Recovery ladder,,,,
Recent Customers,high,Zero,Dormant,Rapid Expansion,Explosive Digital Reactivation,Rapid reactivation from dormant state,Future High Value,Aggressive Upsell,Premium restart,,,,
Recent Customers,high,Zero,Dormant,no_trend,Stable Dormant Digital User,Inactive but historically digital-centric,Inactive User,Activation,Re-entry starter,,,,
Recent Customers,high,Zero,Early Recovery,Declining,Recovery Under Pressure,Digital recovery signs mixed with decline,Retention Priority,Retention,Stability support,,,,
Recent Customers,high,Zero,Early Recovery,Dormant,Mixed Digital Recovery,Recovery in one dimension with dormant profile,Mixed Recovery User,Activation,Cross-service starter,,,,
Recent Customers,high,Zero,Early Recovery,Early Recovery,Balanced Digital Recovery,Both indicators showing positive recovery,Recovering User,Nurture,Balanced recovery,,,,
Recent Customers,high,Zero,Early Recovery,Strong Growth,High Data Recovery Surge,Recovery accelerating through strong digital growth,Emerging Loyal User,Upsell,Digital growth unlock,,,,
Recent Customers,high,Zero,Early Recovery,Gradual Growth,Steady Digital Builder,Healthy gradual digital recovery,Growth Potential,Nurture,Progressive digital,,,,
Recent Customers,high,Zero,Early Recovery,Rapid Expansion,Fast Digital Comeback,Rapid growth after early recovery,Future Premium User,Aggressive Upsell,Premium acceleration,,,,
Recent Customers,high,Zero,Early Recovery,no_trend,Stable Recovery Data User,Recovered and stabilized high data customer,Stable Growth User,Loyalty Growth,Digital rewards,,,,
Recent Customers,high,Zero,Strong Growth,Declining,Strong Digital Momentum at Risk,Strong growth facing weakening trend,Retention Risk,Retention,Momentum shield,,,,
Recent Customers,high,Zero,Strong Growth,Dormant,Interrupted Digital Momentum,Strong digital user disrupted by dormancy,Interrupted Opportunity,Reactivation,Growth restart,,,,
Recent Customers,high,Zero,Strong Growth,Early Recovery,High Digital Recovery Momentum,Growth reinforced by recovery,High Opportunity User,Upsell,Advanced premium,,,,
Recent Customers,high,Zero,Strong Growth,Strong Growth,Power Digital User,Strong high-data growth across lifecycle,High Potential User,Maximum Growth,Elite digital onboarding,,,,
Recent Customers,high,Zero,Strong Growth,Gradual Growth,Sustainable Digital Growth,Strong growth becoming stable,Future Loyal User,Growth Support,Loyalty accelerator,,,,
Recent Customers,high,Zero,Strong Growth,Rapid Expansion,Explosive Digital Hypergrowth,Exceptional digital acceleration,Premium Emerging User,User Maximization,Flagship digital premium,,,,
Recent Customers,high,Zero,Strong Growth,no_trend,Stable Strong Data Growth,Strong data growth with stable profile,Growth Potential,Loyalty Growth,Core rewards,,,,
Recent Customers,high,Zero,Gradual Growth,Declining,Slow Data Growth Weakening,Gradual digital progress under pressure,Retention Risk,Retention,Retention shield,,,,
Recent Customers,high,Zero,Gradual Growth,Dormant,Digital User Slipping,Gradual user facing dormancy,Dormant Risk,Activation,Restart bundle,,,,
Recent Customers,high,Zero,Gradual Growth,Early Recovery,Healthy Digital Builder,Gradual growth with recovery,Recovering User,Nurture,Recovery combo,,,,
Recent Customers,high,Zero,Gradual Growth,Strong Growth,Accelerating Digital Path,Gradual user entering stronger digital momentum,Emerging User,Upsell,Upgrade path,,,,
Recent Customers,high,Zero,Gradual Growth,Gradual Growth,Consistent High Data Growth,Steady digital improvement,Growth Potential,Growth Support,Progressive rewards,,,,
Recent Customers,high,Zero,Gradual Growth,Rapid Expansion,Digital Breakout User,Steady digital base becoming explosive,Future High Value,Aggressive Upsell,Acceleration bundle,,,,
Recent Customers,high,Zero,Gradual Growth,no_trend,Stable Digital Builder,Improving but stabilized digital customer,Developing User,Loyalty Growth,Starter rewards,,,,
Recent Customers,high,Zero,Rapid Expansion,Declining,Rapid Digital Growth Under Pressure,Fast growth beginning to weaken,Retention Priority,Retention,Momentum saver,,,,
Recent Customers,high,Zero,Rapid Expansion,Dormant,Boom Then Silence User,Rapid expansion followed by inactivity,Drop-Off Threat,Reactivation,Reignite digital,,,,
Recent Customers,high,Zero,Rapid Expansion,Early Recovery,Expansion Recovery Digital User,Rapid growth supported by recovery,High Opportunity User,Upsell,Expansion unlock,,,,
Recent Customers,high,Zero,Rapid Expansion,Strong Growth,Breakout Digital Power User,Top-tier digital acceleration,Top New User Potential,Maximum Growth,Elite ecosystem,,,,
Recent Customers,high,Zero,Rapid Expansion,Gradual Growth,Sustainable Digital Expansion,Rapid rise transitioning to stability,Future Loyal User,Growth Support,Value maximizer,,,,
Recent Customers,high,Zero,Rapid Expansion,Rapid Expansion,Hypergrowth Digital User,Extreme data acceleration and engagement,Future VIP User,User Maximization,Ultimate premium,,,,
Recent Customers,high,Zero,Rapid Expansion,no_trend,Stable Expansion Data User,Expanded rapidly then stabilized,Emerging User,Loyalty Growth,Expansion rewards,,,,
Recent Customers,high,Zero,no_trend,Declining,Stable Data User Weakening,Stable high-data user starting decline,Retention Risk,Retention,Usage shield,,,,
Recent Customers,high,Zero,no_trend,Dormant,Stable Data Dormancy,Stable digital user becoming inactive,Dormant Risk,Activation,Wake-up offer,,,,
Recent Customers,high,Zero,no_trend,Early Recovery,Stable Data Recovery,Stable user beginning comeback,Recovering User,Nurture,Starter recovery,,,,
Recent Customers,high,Zero,no_trend,Strong Growth,Stable to Data Momentum,Stable user entering strong digital growth,Growth Opportunity,Upsell,Data booster,,,,
Recent Customers,high,Zero,no_trend,Gradual Growth,Stable Data Builder,Steady improvement from stable base,Growth Potential,Nurture,Build-up combo,,,,
Recent Customers,high,Zero,no_trend,Rapid Expansion,Stable Breakout Digital User,Stable user suddenly accelerating,Emerging User,Aggressive Upsell,Fast activation premium,,,,
Recent Customers,high,Zero,no_trend,no_trend,Consistent High Data User,Recent customer maintaining high data with no voice activity,Awareness Stage,User Education,Digital onboarding,,,,
Recent Customers,very_high,low,Declining,Declining,Elite Data-Led Decline,Recent very high data customer with weak voice declining across both dimensions,Critical Retention Risk,Retention,Data-first rescue,,,,
Recent Customers,very_high,low,Declining,Dormant,Elite Digital User Losing Touch,High digital customer slipping toward inactivity,Dormant Risk,Activation,Digital reactivation,,,,
Recent Customers,very_high,low,Declining,Early Recovery,Decline With Recovery Potential,Declining but showing early comeback in engagement,Recovering User,Nurture,Recovery ladder,,,,
Recent Customers,very_high,low,Declining,Strong Growth,Data Growth Rebound,Strong digital momentum despite earlier weakness,Growth Opportunity,Upsell,Elite data upgrade,,,,
Recent Customers,very_high,low,Declining,Gradual Growth,Stabilizing Data Leader,Gradual improvement from decline,Growth Potential,Nurture,Progressive digital value,,,,
Recent Customers,very_high,low,Declining,Rapid Expansion,Explosive Data Comeback,Rapid digital surge after decline,Emerging Digital VIP,Aggressive Upsell,Turbo growth pack,,,,
Recent Customers,very_high,low,Declining,no_trend,Stable But Weakening Digital Leader,High data customer stable yet under pressure,Retention Priority,Retention,Usage shield,,,,
Recent Customers,very_high,low,Dormant,Declining,Digital Leader Fading,Previously active digital-heavy customer declining rapidly,High Churn Risk,Critical Activation,Dormancy rescue,,,,
Recent Customers,very_high,low,Dormant,Dormant,Fully Dormant Data Elite,Elite data customer inactive,Lost Opportunity,Reactivation,Comeback digital,,,,
Recent Customers,very_high,low,Dormant,Early Recovery,Reactivation Signal Emerging,Dormant user showing recovery,Recovering Digital User,Nurture,Return booster,,,,
Recent Customers,very_high,low,Dormant,Strong Growth,Strong Digital Revival,Rapid comeback in digital engagement,Reactivated Premium,Upsell,Elite relaunch,,,,
Recent Customers,very_high,low,Dormant,Gradual Growth,Slow Digital Return,Gradual recovery from dormancy,Recovering User,Nurture,Recovery path,,,,
Recent Customers,very_high,low,Dormant,Rapid Expansion,Explosive Reactivation,Rapid re-engagement after dormancy,Future High Value,Aggressive Upsell,Platinum restart,,,,
Recent Customers,very_high,low,Dormant,no_trend,Stable Dormant Digital User,Dormant but structurally valuable,Inactive Opportunity,Activation,Wake-up digital,,,,
Recent Customers,very_high,low,Early Recovery,Declining,Recovery Under Pressure,Recovery signs mixed with decline,Retention Priority,Retention,Recovery defense,,,,
Recent Customers,very_high,low,Early Recovery,Dormant,Mixed Recovery Path,Recovery in one area while inactivity remains,Mixed Recovery User,Activation,Cross-engagement restore,,,,
Recent Customers,very_high,low,Early Recovery,Early Recovery,Balanced Digital Recovery,Recovery across dimensions,Recovering Loyal User,Nurture,Recovery accelerator,,,,
Recent Customers,very_high,low,Early Recovery,Strong Growth,Recovery to Growth Shift,Recovery accelerating into strong digital momentum,Emerging Loyal User,Upsell,Growth unlock,,,,
Recent Customers,very_high,low,Early Recovery,Gradual Growth,Steady Recovery Builder,Sustainable recovery trend,Growth Potential,Nurture,Steady booster,,,,
Recent Customers,very_high,low,Early Recovery,Rapid Expansion,Fast Recovery Expansion,Rapid post-recovery growth,Future Premium User,Aggressive Upsell,Acceleration suite,,,,
Recent Customers,very_high,low,Early Recovery,no_trend,Stable Recovery User,Recovered and stable digital user,Loyalty Opportunity,Loyalty Growth,Data rewards,,,,
Recent Customers,very_high,low,Strong Growth,Declining,Growth Momentum at Risk,Strong growth but weakening signs,Retention Risk,Retention,Momentum defense,,,,
Recent Customers,very_high,low,Strong Growth,Dormant,Growth Interrupted User,Strong digital trajectory disrupted,Dormant Threat,Reactivation,Growth restart,,,,
Recent Customers,very_high,low,Strong Growth,Early Recovery,Accelerated Growth Recovery,Growth supported by recovery,High Opportunity User,Upsell,Elite enhancer,,,,
Recent Customers,very_high,low,Strong Growth,Strong Growth,Breakout Digital Champion,Exceptional digital-led growth,Top Growth Segment,Maximum Growth,Ultimate digital ecosystem,,,,
Recent Customers,very_high,low,Strong Growth,Gradual Growth,Sustainable Growth User,Strong growth stabilizing,Future Loyal User,Loyalty Growth,Elite continuity,,,,
Recent Customers,very_high,low,Strong Growth,Rapid Expansion,Hypergrowth Digital Titan,Extreme growth across engagement,Ultra VIP,User Maximization,Infinity growth,,,,
Recent Customers,very_high,low,Strong Growth,no_trend,Stable High-Growth User,Strong digital growth with stability,Growth Potential,Loyalty Growth,Core premium,,,,
Recent Customers,very_high,low,Gradual Growth,Declining,Gradual Growth Under Pressure,Steady progress facing weakening,Retention Risk,Retention,Progress shield,,,,
Recent Customers,very_high,low,Gradual Growth,Dormant,Builder Losing Pace,Gradual customer slipping dormant,Dormant Risk,Activation,Builder restart,,,,
Recent Customers,very_high,low,Gradual Growth,Early Recovery,Healthy Builder Recovery,Gradual growth supported by recovery,Recovering User,Nurture,Growth nurture,,,,
Recent Customers,very_high,low,Gradual Growth,Strong Growth,Accelerating Builder,Gradual user entering strong growth,Emerging User,Upsell,Upgrade route,,,,
Recent Customers,very_high,low,Gradual Growth,Gradual Growth,Consistent Digital Builder,Balanced sustainable growth,Growth Potential,Loyalty Growth,Builder rewards,,,,
Recent Customers,very_high,low,Gradual Growth,Rapid Expansion,Breakout Builder,Gradual user entering explosive growth,Future High Value,Aggressive Upsell,Breakout turbo,,,,
Recent Customers,very_high,low,Gradual Growth,no_trend,Stable Builder User,Stable improving user,Loyalty Opportunity,Nurture,Builder progression,,,,
Recent Customers,very_high,low,Rapid Expansion,Declining,Rapid Growth at Risk,Explosive growth facing decline,Retention Priority,Retention,Expansion shield,,,,
Recent Customers,very_high,low,Rapid Expansion,Dormant,Boom-to-Dormant Digital,Rapid expansion followed by inactivity,Drop-Off Threat,Reactivation,Reignite premium,,,,
Recent Customers,very_high,low,Rapid Expansion,Early Recovery,Expansion Recovery User,Rapid expansion with recovery,High Opportunity User,Upsell,Expansion unlock,,,,
Recent Customers,very_high,low,Rapid Expansion,Strong Growth,Power Expansion User,Exceptional breakout in digital engagement,New Premium Leader,Maximum Growth,Elite ecosystem,,,,
Recent Customers,very_high,low,Rapid Expansion,Gradual Growth,Sustained Expansion User,Rapid rise becoming stable,Future Loyal User,Growth Support,Value maximizer,,,,
Recent Customers,very_high,low,Rapid Expansion,Rapid Expansion,Hypergrowth Champion,Maximum digital acceleration,Ultimate Segment,User Maximization,Infinity flagship,,,,
Recent Customers,very_high,low,Rapid Expansion,no_trend,Stable Expansion User,Rapidly expanded and stabilized,Loyalty Growth Opportunity,Loyalty Growth,Expansion rewards,,,,
Recent Customers,very_high,low,no_trend,Declining,Stable Digital Weakening,Stable customer beginning decline,Retention Risk,Retention,Usage shield,,,,
Recent Customers,very_high,low,no_trend,Dormant,Stable Dormant User,Stable high-data user becoming inactive,Dormant Risk,Activation,Wake-up bundle,,,,
Recent Customers,very_high,low,no_trend,Early Recovery,Stable Recovery Momentum,Stable customer showing comeback,Recovering User,Nurture,Starter boost,,,,
Recent Customers,very_high,low,no_trend,Strong Growth,Stable to Growth Shift,Stable base accelerating,Growth Opportunity,Upsell,Growth booster,,,,
Recent Customers,very_high,low,no_trend,Gradual Growth,Stable Builder Momentum,Stable base gradually improving,Growth Potential,Nurture,Build-up plan,,,,
Recent Customers,very_high,low,no_trend,Rapid Expansion,Stable Breakout User,Stable user scaling rapidly,Emerging VIP User,Aggressive Upsell,Breakout premium,,,,
Recent Customers,very_high,low,no_trend,no_trend,Consistent Elite Digital-Heavy User,Recent customer maintaining very high data with low voice in stable pattern,Digital Loyalty Core,Loyalty Growth,Platinum digital onboarding,,,,
Recent Customers,very_high,medium,Declining,Declining,Elite Data-Heavy Decline,Recent very high data + moderate voice user declining across both,Critical Retention Risk,Retention,Premium save bundle,,,,
Recent Customers,very_high,medium,Declining,Dormant,Elite User Sliding to Dormancy,Strong digital user becoming inactive,Dormant Risk,Activation,Reactivation pack,,,,
Recent Customers,very_high,medium,Declining,Early Recovery,Decline with Recovery Signal,Weakening engagement with early comeback,Recovering User,Nurture,Recovery booster,,,,
Recent Customers,very_high,medium,Declining,Strong Growth,Data-Led Rebound,Strong digital growth despite earlier drop,Growth Opportunity,Upsell,Elite data upgrade,,,,
Recent Customers,very_high,medium,Declining,Gradual Growth,Stabilizing Premium User,Gradual recovery from decline,Growth Potential,Nurture,Progressive value,,,,
Recent Customers,very_high,medium,Declining,Rapid Expansion,Rapid Digital Comeback,Explosive rebound after decline,Emerging VIP,Aggressive Upsell,Turbo premium,,,,
Recent Customers,very_high,medium,Declining,no_trend,Stable but Weakening Premium,Stable user losing momentum,Retention Priority,Retention,Usage shield,,,,
Recent Customers,very_high,medium,Dormant,Declining,Fading Premium User,High-value user declining toward churn,High Churn Risk,Critical Activation,Dormancy rescue,,,,
Recent Customers,very_high,medium,Dormant,Dormant,Fully Dormant Premium,Previously strong user now inactive,Lost Opportunity,Reactivation,Comeback journey,,,,
Recent Customers,very_high,medium,Dormant,Early Recovery,Reactivation Signal,Inactive user showing return signs,Recovering User,Nurture,Return booster,,,,
Recent Customers,very_high,medium,Dormant,Strong Growth,Strong Comeback Momentum,Rapid re-engagement from dormancy,Reactivated Premium,Upsell,Premium relaunch,,,,
Recent Customers,very_high,medium,Dormant,Gradual Growth,Slow Recovery Path,Gradual comeback from inactivity,Recovering User,Nurture,Growth ladder,,,,
Recent Customers,very_high,medium,Dormant,Rapid Expansion,Explosive Reactivation,Rapid surge after dormancy,Future High Value,Aggressive Upsell,Platinum restart,,,,
Recent Customers,very_high,medium,Dormant,no_trend,Stable Dormant Premium,Dormant but valuable user,Inactive Opportunity,Activation,Wake-up bundle,,,,
Recent Customers,very_high,medium,Early Recovery,Declining,Recovery Under Pressure,Recovery mixed with weakening,Retention Priority,Retention,Recovery stabilizer,,,,
Recent Customers,very_high,medium,Early Recovery,Dormant,Mixed Recovery User,"Recovery in one area, inactivity in another",Mixed Segment,Activation,Cross-sell restore,,,,
Recent Customers,very_high,medium,Early Recovery,Early Recovery,Balanced Recovery,Consistent recovery across services,Recovering Loyal,Nurture,Recovery accelerator,,,,
Recent Customers,very_high,medium,Early Recovery,Strong Growth,Recovery to Growth Shift,Recovery accelerating into growth,Emerging Loyal,Upsell,Growth unlock,,,,
Recent Customers,very_high,medium,Early Recovery,Gradual Growth,Steady Recovery,Sustainable engagement improvement,Growth Potential,Nurture,Steady booster,,,,
